Sentence	Translation	Speaker	Rating	Ambiguity	Voice	Topicalized	Order	Actor_Type	Actor_Case	Undergoer_Type	Undergoer_Case	Beneficiary_Type	Beneficiary_Case	Location_Type	Location_Case	Poss_Type	Poss_Case	Theme_Type	Theme_Case	Rating_str
idu na cau (mu) maated kani Lutan mukuwa i Taihok	That person sent Lutan to Taipei. (drive Lutan to Taipei)	3	2	A-U	AF	actor	AVUVL	common_def	NOM	prsn_sg	OBL			loc	LOC					Accepted
idu na kakias ma'avang kana ngangalaw	That frog caught a fly	3	1	none	AF	actor	AVU	common_def	NOM	common_def	OBL									Elicited
idu na kakias mu tu ekanaw lra na ngangalaw	That frog ate a fly.	3	1	none	PF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
idu na kakias mu tu 'avangaw na ngangalaw	That frog caught a fly.	3	2	none	PF	actor	AVU	common_def	NOM	common_def	NOM									Accepted
idu na kakias mu tu 'avangaw da ngangalaw	That frog caught a fly.	3	3	none	PF	actor	AVU	common_def	NOM	common_indf	OBL									Rejected
idu na kakias mu tu 'avangaw a ngangalaw	That frog caught a fly.	3	3	none	PF	actor	AVU	common_def	NOM	common_indf	NOM									Rejected
na suwan (mu) venalarelrang kana ngiyaw	The dog is chasing the cat. 	3	1	A-U	AF	actor	AVU	common_def	NOM	common_def	OBL									Elicited
ini na vavayan tu verayay a walru idu na alrak	That woman gave the child candy.	3	2	A-B	LF	actor	AVUB	common_def	NOM	common_indf	NOM	common_def	NOM							Accepted
ini na vavayan tu verayay a walru kanidu na alrak	That woman gave the child candy.	3	2	A-B	LF	actor	AVUB	common_def	NOM	common_indf	NOM	common_def	NOM							Accepted
i Lutan tu tengeday idu na vavayan tu lima	Lutan hit the woman's hand.	3	1	A-P	LF-UPOSS	actor	AVPPd	prsn_sg	NOM	possessed						common_def	NOM			Elicited
i Pusang tu tengeday tu lima idu na vavayan	Pusang hit the woman's hand.	3	1	A-P	LF-UPOSS	actor	AVPdP	prsn_sg	NOM	possessed						common_def	NOM			Elicited
tu tengeday idu na vavayan tu lima i Pusang	Intended: Pusang hit the woman's hand.	3	3	A-P	LF-UPOSS	none	VPPdA	prsn_sg	NOM	possessed						common_def	NOM			Rejected
na ungay mu tu kulukulungaw na varasa' kemay kana henan	The monkey rolled the stone down the hill.	3	1	none	PF	actor	AVUL	common_def	NOM	common_def	NOM			common_def	OBL					Elicited
na ungay kemay kana henan kemulukulung kana varasa'	The monkey rolled the stone down the hill.	3	1	none	AF	actor, location	ALVU	common_def	NOM	common_def	OBL			common_def	OBL					Elicited
